邓丽君怀旧音乐「飞鸿制作」,#genre#
beIN Sports 5,https://hls.iill.top/api/beIN-Sports-5/index.m3u8
Hub Premier 1,https://hls.iill.top/api/Hub-Premier-1/index.m3u8
Hub Premier 2 (HD),https://hls.iill.top/api/Hub-Premier-2/index.m3u8
Hub Premier 3,https://hls.iill.top/api/Hub-Premier-3/index.m3u8
Hub Premier 4,https://hls.iill.top/api/Hub-Premier-4/index.m3u8
Hub Premier 5,https://hls.iill.top/api/Hub-Premier-5/index.m3u8
Hub Premier 6,https://hls.iill.top/api/Hub-Premier-6/index.m3u8
Hub Premier 7,https://hls.iill.top/api/Hub-Premier-7/index.m3u8
Hub Premier 8,https://hls.iill.top/api/Hub-Premier-8/index.m3u8
Hub Sports 1 HD,https://hls.iill.top/api/Hub-Sports-1/index.m3u8
Hub Sports 2 HD,https://hls.iill.top/api/Hub-Sports-2/index.m3u8
Hub Sports 3 HD,https://hls.iill.top/api/Hub-Sports-3/index.m3u8
Hub Sports 4 HD,https://hls.iill.top/api/Hub-Sports-4/index.m3u8
Hub Sports 5 HD,https://hls.iill.top/api/Hub-Sports-5/index.m3u8
Hub Sports 6,https://hls.iill.top/api/Hub-Sports-6/index.m3u8
Hub Sports 7,https://hls.iill.top/api/Hub-Sports-7/index.m3u8
Hub Sports 8,https://hls.iill.top/api/Hub-Sports-8/index.m3u8
SPOTV,https://hls.iill.top/api/Spotv-1/index.m3u8
SPOTV2,https://hls.iill.top/api/Spotv-2/index.m3u8
SkySp Cricket,https://hls.iill.top/api/Sky-Sports-Cricket/index.m3u8
SkySp PL HD,https://hls.iill.top/api/Sky-Sports-EPL/index.m3u8
SkySp F1,https://hls.iill.top/api/Sky-Sports-F1/index.m3u8
SkySp Mix HD,https://hls.iill.top/api/Sky-Sports-Mix/index.m3u8
SkySp Racing HD,https://hls.iill.top/api/Sky-Sports-Racing/index.m3u8
FIGHT SPORTS HD,https://hls.iill.top/api/Fight-Sports/index.m3u8

綜合「新飞鸿制作」,#genre#
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
BBC Earth,https://hls.iill.top/api/BBC-Earth/index.m3u8
BBC Lifestyle,https://hls.iill.top/api/BBC-Lifestyle/index.m3u8
Discovery HD,https://hls.iill.top/api/Discovery/index.m3u8
HBO HD,https://hls.iill.top/api/HBO/index.m3u8
HBO Hits HD,https://hls.iill.top/api/HBO-Hits/index.m3u8
HBO Family HD,https://hls.iill.top/api/HBO-Family/index.m3u8
HBO Signature HD,https://hls.iill.top/api/HBO-Signature/index.m3u8

Juli 「新飞鸿制作」,#genre#
鳳凰衛視中文台,https://cdn6.163189.xyz/163189/fhzw
鳳凰衛視資訊台,https://cdn6.163189.xyz/163189/fhzx
鳳凰衛視香港台,https://cdn6.163189.xyz/163189/fhhk
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
無綫新聞台,https://cdn6.163189.xyz/163189/wxxw
Now新聞台,https://cdn.163189.xyz/163189/now
娛樂新聞台,https://cdn6.163189.xyz/163189/ylxw
千禧經典台,https://o11.163189.xyz/stream/live/tvbc/
天映马来西亚,https://o11.163189.xyz/stream/live/typd/
天映經典頻道,https://o11.163189.xyz/stream/live/ccm/
功夫台,https://cdn6.163189.xyz/163189/yzwx
TVB XING HE,https://o11.163189.xyz/stream/live/tvbxh/
AOD,https://o11.163189.xyz/stream/live/aod/
AEC,https://o11.163189.xyz/stream/live/aec/
QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
HUA HEE DAI,https://o11.163189.xyz/stream/live/hxt/
iQIYI,https://o11.163189.xyz/stream/live/iqiyi/
8TV,http://cdn6.163189.xyz/163189/8tv
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/ch

地方「新飞鸿制作」,#genre#
广东体育,http://r.jdshipin.com/LiYdg
广东珠江,http://r.jdshipin.com/sE5vO
广州综合,http://dxa.yiandrive.com:27385/gztv/zhonghe
广州新闻,http://dxa.yiandrive.com:27385/gztv/xinwen
广州法治,http://dxa.yiandrive.com:27385/gztv/fazhi
南国都市4K,http://dxa.yiandrive.com:27385/gztv/shenghuo
东方卫视,https://tv.iill.top/kdf/2030
五星体育,https://tv.iill.top/kdf/1605
上海第一财经,https://tv.iill.top/kdf/21
上海新闻综合,https://tv.iill.top/kdf/20
上海都市,https://tv.iill.top/kdf/18
魔都眼,https://tv.iill.top/kdf/1601
新纪实,https://tv.iill.top/kdf/1600
爱上海,https://tv.iill.top/kdf/2029
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://play-qukan.cztv.com/live/1758879019692345.m3u8
湖南卫视,https://tv.iill.top/migu/hnws
辽宁卫视,https://tv.iill.top/migu/lnws
CHC影迷电影,https://tv.iill.top/migu/chcym
CHC动作电影,https://tv.iill.top/migu/chcdz
CHC家庭影院,https://tv.iill.top/migu/chcjt
•新飞鸿国际频道「新飞鸿制作」,#genre#
•🇨🇦加拿大Prime Canada TV,http://cdn27.live247stream.com/primecanada/247/primecanada/stream1/chunks.m3u8
🇨🇦加拿大Global News,http://iptv.zkbhj.com/tv/url/go?id=188da1cd42026cce4e3c6fd900520b5bf2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
